id,site,job_url,job_url_direct,title,company,location,date_posted,is_remote,company_url
li-4411273347,linkedin,https://www.linkedin.com/jobs/view/4411273347,,"Part-Time Student - Software Test Engineer - Morrisville, NC",John Deere,"Morrisville, NC",,False,https://www.linkedin.com/company/john-deere
li-4408897697,linkedin,https://www.linkedin.com/jobs/view/4408897697,,Copilot/Power Platform Developer,Matlen Silver,"North Carolina, United States",,False,https://www.linkedin.com/company/matlen-silver
li-4409993543,linkedin,https://www.linkedin.com/jobs/view/4409993543,,Project Engineer - Pharma,Intellectt Inc,"North Carolina, United States",,False,https://www.linkedin.com/company/intellecttinc
li-4411234836,linkedin,https://www.linkedin.com/jobs/view/4411234836,,AI Deployment Accelerator,Freight Hero,,,False,https://www.linkedin.com/company/freight-hero-ai
li-4409204118,linkedin,https://www.linkedin.com/jobs/view/4409204118,,AI & Machine Learning Engineering Consultant - Power & Utilities Sector - Manager - Consulting,EY,"Raleigh, NC",,False,https://uk.linkedin.com/company/ernstandyoung
li-4409973851,linkedin,https://www.linkedin.com/jobs/view/4409973851,,Principal/Senior Principal Software Engineer,Red Hat,"Raleigh, NC",,False,https://www.linkedin.com/company/red-hat
li-4411275341,linkedin,https://www.linkedin.com/jobs/view/4411275341,,Senior C++ Embedded Software Engineer - Autonomous Systems,"Diversified Services Network, Inc.","Clayton, NC",,False,https://www.linkedin.com/company/diversified-services-network
li-4411247351,linkedin,https://www.linkedin.com/jobs/view/4411247351,,NAS-Staff Engineer,Zachry Group,"Cary, NC",,False,https://www.linkedin.com/company/zachry-group
li-4409966914,linkedin,https://www.linkedin.com/jobs/view/4409966914,,"Java Software Engineer (LIMS / Laboratory Experience) at Durham, NC (Hybrid 2days onsite)",Jobs via Dice,"Durham, NC",,False,https://www.linkedin.com/company/jobs-via-dice
li-4409987077,linkedin,https://www.linkedin.com/jobs/view/4409987077,,Senior Senior Software Engineer,Jobs via Dice,"Durham, NC",,False,https://www.linkedin.com/company/jobs-via-dice
li-4408886802,linkedin,https://www.linkedin.com/jobs/view/4408886802,,TMS Configuration Engineer,World Courier,"North Carolina, United States",,False,https://uk.linkedin.com/company/world-courier
li-4409208003,linkedin,https://www.linkedin.com/jobs/view/4409208003,,AI Engineering - Power & Utilities Sector - Senior Manager - Consulting,EY,"Raleigh, NC",,False,https://uk.linkedin.com/company/ernstandyoung
li-4407538088,linkedin,https://www.linkedin.com/jobs/view/4407538088,,Project Engineering Manager,Black & Veatch,"Cary, NC",,False,https://www.linkedin.com/company/black-and-veatch
li-4334310954,linkedin,https://www.linkedin.com/jobs/view/4334310954,,Project Engineering Manager - Substation,Black & Veatch,"Cary, NC",,False,https://www.linkedin.com/company/black-and-veatch
li-4409415642,linkedin,https://www.linkedin.com/jobs/view/4409415642,,Overhead Transmission Line Project Engineering Manager,Black & Veatch,"Cary, NC",,False,https://www.linkedin.com/company/black-and-veatch
li-4411229992,linkedin,https://www.linkedin.com/jobs/view/4411229992,,Adobe Experience Platform Engineer,Verizon,"Cary, NC",,False,https://www.linkedin.com/company/verizon
li-4411237333,linkedin,https://www.linkedin.com/jobs/view/4411237333,,Cybersecurity Senior Engineer (ASM),Truist,"Raleigh, NC",,False,https://www.linkedin.com/company/truistfinancialcorporation
li-4409987062,linkedin,https://www.linkedin.com/jobs/view/4409987062,,Structural Engineer,Jobs via Dice,"Raleigh, NC",,False,https://www.linkedin.com/company/jobs-via-dice
li-4408883840,linkedin,https://www.linkedin.com/jobs/view/4408883840,,Network Engineer,Attindas Hygiene Partners,"Raleigh, NC",,False,https://www.linkedin.com/company/attindas
li-4411273347,linkedin,https://www.linkedin.com/jobs/view/4411273347,,"Part-Time Student - Software Test Engineer - Morrisville, NC",John Deere,"Morrisville, NC",,False,https://www.linkedin.com/company/john-deere
li-4408897697,linkedin,https://www.linkedin.com/jobs/view/4408897697,,Copilot/Power Platform Developer,Matlen Silver,"North Carolina, United States",,False,https://www.linkedin.com/company/matlen-silver
li-4409993543,linkedin,https://www.linkedin.com/jobs/view/4409993543,,Project Engineer - Pharma,Intellectt Inc,"North Carolina, United States",,False,https://www.linkedin.com/company/intellecttinc
li-4411234836,linkedin,https://www.linkedin.com/jobs/view/4411234836,,AI Deployment Accelerator,Freight Hero,,,False,https://www.linkedin.com/company/freight-hero-ai
li-4409204118,linkedin,https://www.linkedin.com/jobs/view/4409204118,,AI & Machine Learning Engineering Consultant - Power & Utilities Sector - Manager - Consulting,EY,"Raleigh, NC",,False,https://uk.linkedin.com/company/ernstandyoung
li-4411275341,linkedin,https://www.linkedin.com/jobs/view/4411275341,,Senior C++ Embedded Software Engineer - Autonomous Systems,"Diversified Services Network, Inc.","Clayton, NC",,False,https://www.linkedin.com/company/diversified-services-network
li-4409973851,linkedin,https://www.linkedin.com/jobs/view/4409973851,,Principal/Senior Principal Software Engineer,Red Hat,"Raleigh, NC",,False,https://www.linkedin.com/company/red-hat
li-4409966914,linkedin,https://www.linkedin.com/jobs/view/4409966914,,"Java Software Engineer (LIMS / Laboratory Experience) at Durham, NC (Hybrid 2days onsite)",Jobs via Dice,"Durham, NC",,False,https://www.linkedin.com/company/jobs-via-dice
li-4411247351,linkedin,https://www.linkedin.com/jobs/view/4411247351,,NAS-Staff Engineer,Zachry Group,"Cary, NC",,False,https://www.linkedin.com/company/zachry-group
li-4409987077,linkedin,https://www.linkedin.com/jobs/view/4409987077,,Senior Senior Software Engineer,Jobs via Dice,"Durham, NC",,False,https://www.linkedin.com/company/jobs-via-dice
li-4408886802,linkedin,https://www.linkedin.com/jobs/view/4408886802,,TMS Configuration Engineer,World Courier,"North Carolina, United States",,False,https://uk.linkedin.com/company/world-courier
li-4409208003,linkedin,https://www.linkedin.com/jobs/view/4409208003,,AI Engineering - Power & Utilities Sector - Senior Manager - Consulting,EY,"Raleigh, NC",,False,https://uk.linkedin.com/company/ernstandyoung
li-4407538088,linkedin,https://www.linkedin.com/jobs/view/4407538088,,Project Engineering Manager,Black & Veatch,"Cary, NC",,False,https://www.linkedin.com/company/black-and-veatch
li-4334310954,linkedin,https://www.linkedin.com/jobs/view/4334310954,,Project Engineering Manager - Substation,Black & Veatch,"Cary, NC",,False,https://www.linkedin.com/company/black-and-veatch
li-4409415642,linkedin,https://www.linkedin.com/jobs/view/4409415642,,Overhead Transmission Line Project Engineering Manager,Black & Veatch,"Cary, NC",,False,https://www.linkedin.com/company/black-and-veatch
li-4411229992,linkedin,https://www.linkedin.com/jobs/view/4411229992,,Adobe Experience Platform Engineer,Verizon,"Cary, NC",,False,https://www.linkedin.com/company/verizon
li-4411237333,linkedin,https://www.linkedin.com/jobs/view/4411237333,,Cybersecurity Senior Engineer (ASM),Truist,"Raleigh, NC",,False,https://www.linkedin.com/company/truistfinancialcorporation
li-4409987062,linkedin,https://www.linkedin.com/jobs/view/4409987062,,Structural Engineer,Jobs via Dice,"Raleigh, NC",,False,https://www.linkedin.com/company/jobs-via-dice
li-4408883840,linkedin,https://www.linkedin.com/jobs/view/4408883840,,Network Engineer,Attindas Hygiene Partners,"Raleigh, NC",,False,https://www.linkedin.com/company/attindas
li-4411273347,linkedin,https://www.linkedin.com/jobs/view/4411273347,,"Part-Time Student - Software Test Engineer - Morrisville, NC",John Deere,"Morrisville, NC",,False,https://www.linkedin.com/company/john-deere
li-4408897697,linkedin,https://www.linkedin.com/jobs/view/4408897697,,Copilot/Power Platform Developer,Matlen Silver,"North Carolina, United States",,False,https://www.linkedin.com/company/matlen-silver
li-4409993543,linkedin,https://www.linkedin.com/jobs/view/4409993543,,Project Engineer - Pharma,Intellectt Inc,"North Carolina, United States",,False,https://www.linkedin.com/company/intellecttinc
li-4411234836,linkedin,https://www.linkedin.com/jobs/view/4411234836,,AI Deployment Accelerator,Freight Hero,,,False,https://www.linkedin.com/company/freight-hero-ai
li-4409204118,linkedin,https://www.linkedin.com/jobs/view/4409204118,,AI & Machine Learning Engineering Consultant - Power & Utilities Sector - Manager - Consulting,EY,"Raleigh, NC",,False,https://uk.linkedin.com/company/ernstandyoung
li-4411275341,linkedin,https://www.linkedin.com/jobs/view/4411275341,,Senior C++ Embedded Software Engineer - Autonomous Systems,"Diversified Services Network, Inc.","Clayton, NC",,False,https://www.linkedin.com/company/diversified-services-network
li-4409973851,linkedin,https://www.linkedin.com/jobs/view/4409973851,,Principal/Senior Principal Software Engineer,Red Hat,"Raleigh, NC",,False,https://www.linkedin.com/company/red-hat
li-4411247351,linkedin,https://www.linkedin.com/jobs/view/4411247351,,NAS-Staff Engineer,Zachry Group,"Cary, NC",,False,https://www.linkedin.com/company/zachry-group
li-4409966914,linkedin,https://www.linkedin.com/jobs/view/4409966914,,"Java Software Engineer (LIMS / Laboratory Experience) at Durham, NC (Hybrid 2days onsite)",Jobs via Dice,"Durham, NC",,False,https://www.linkedin.com/company/jobs-via-dice
li-4409987077,linkedin,https://www.linkedin.com/jobs/view/4409987077,,Senior Senior Software Engineer,Jobs via Dice,"Durham, NC",,False,https://www.linkedin.com/company/jobs-via-dice
li-4408886802,linkedin,https://www.linkedin.com/jobs/view/4408886802,,TMS Configuration Engineer,World Courier,"North Carolina, United States",,False,https://uk.linkedin.com/company/world-courier
li-4409208003,linkedin,https://www.linkedin.com/jobs/view/4409208003,,AI Engineering - Power & Utilities Sector - Senior Manager - Consulting,EY,"Raleigh, NC",,False,https://uk.linkedin.com/company/ernstandyoung
li-4407538088,linkedin,https://www.linkedin.com/jobs/view/4407538088,,Project Engineering Manager,Black & Veatch,"Cary, NC",,False,https://www.linkedin.com/company/black-and-veatch
li-4334310954,linkedin,https://www.linkedin.com/jobs/view/4334310954,,Project Engineering Manager - Substation,Black & Veatch,"Cary, NC",,False,https://www.linkedin.com/company/black-and-veatch
li-4409415642,linkedin,https://www.linkedin.com/jobs/view/4409415642,,Overhead Transmission Line Project Engineering Manager,Black & Veatch,"Cary, NC",,False,https://www.linkedin.com/company/black-and-veatch
li-4411229992,linkedin,https://www.linkedin.com/jobs/view/4411229992,,Adobe Experience Platform Engineer,Verizon,"Cary, NC",,False,https://www.linkedin.com/company/verizon
li-4411237333,linkedin,https://www.linkedin.com/jobs/view/4411237333,,Cybersecurity Senior Engineer (ASM),Truist,"Raleigh, NC",,False,https://www.linkedin.com/company/truistfinancialcorporation
li-4409987062,linkedin,https://www.linkedin.com/jobs/view/4409987062,,Structural Engineer,Jobs via Dice,"Raleigh, NC",,False,https://www.linkedin.com/company/jobs-via-dice
li-4408883840,linkedin,https://www.linkedin.com/jobs/view/4408883840,,Network Engineer,Attindas Hygiene Partners,"Raleigh, NC",,False,https://www.linkedin.com/company/attindas
